qixue,zhenqi,up_gongji,baoshang,duiguai,1%_qixue,1%_zhenqi,1%_gongji,up_damage
1500000,2900000,150000,1748.0,5.8,2500,2500,100,486000627
1500000,1500000,150000,1600.0,4.6,2500,2500,100,683376079
1500000,1500000,150000,1600.0,4.6,2500,2500,100,658348487
1500000,1500000,150000,1600.0,4.6,2500,2500,100,891900853
1500000,1500000,150000,1600.0,4.6,2500,2500,100,627097277
1500000,1500000,150000,1600.0,4.6,2500,2500,100,664399611
1500000,1500000,150000,1600.0,4.6,2500,2500,100,617149715
1500000,1500000,150000,1600.0,4.6,2500,2500,100,489417424
2500000,1500000,150000,1600.0,4.6,2500,2500,100,1002008922
500000,1200000,100000,1300.0,4.6,2500,2500,100,417144147
1500000,1500000,150000,1600.0,4.6,2500,2500,100,367759127
1360000,1750000,123500,1600.0,4.6,2500,2500,100,550937075
1360000,1750000,123500,1600.0,4.6,2500,2500,100,564050762
1360000,1750000,123500,1600.0,4.6,2500,2500,100,509132062
720000,460000,52000,1085.0,3.0,2200,2500,100,33129714
990000,1810000,113000,1640.0,9.2,4500,4500,100,726939254
990000,1810000,113000,1640.0,9.2,4500,4500,100,721232805
990000,1810000,113000,1640.0,9.2,4500,4500,100,592173468
1000000,1500000,150000,1600.0,4.6,2500,2500,100,658348487
900000,1470000,95000,1580.0,3.0,2500,2500,100,207269606
1000000,2100000,100000,1600.0,5.099999999999998,3000,4500,100,333647336
1500000,1500000,150000,1600.0,4.6,2500,2500,100,655424492
840000,450000,67000,1223.0,0.0,2500,1800,100,83352140
1500000,1500000,150000,1600.0,4.6,2500,2500,100,358466498
1500000,1500000,150000,1600.0,4.6,2500,2500,100,49086579
890000,1750000,95000,1698.0,2.7,2500,4399,120,51898909
890000,1750000,93000,1698.0,2.7,1000,4399,120,50878998
1400000,1200000,110000,1695.0,0.0,5000,5000,100,591898757
900000,2000000,110000,1650.0,2.0,2500,4000,100,559638088
900000,2000000,110000,1654.0,2.0,2500,4000,100,560527461
900000,2004000,110000,1650.0,2.0,2500,4000,100,560134197
900000,2008000,110000,1650.0,2.0,2500,4000,100,560630305
900000,2007000,110000,1650.0,2.0,2500,4000,100,560506278
900000,2007500,110000,1650.0,2.0,2500,4000,100,560568292
900000,2007350,110000,1650.0,2.0,2500,4000,100,560549688
900000,2007300,110000,1650.0,2.0,2500,4000,100,560543486
900000,2007250,110000,1650.0,2.0,2500,4000,100,560537285
900000,2007200,110000,1650.0,2.0,2500,4000,100,560531084
800000,1800000,100000,1630.0,4.6,2500,4500,100,269725896
1500000,1500000,150000,1600.0,4.6,2500,2500,100,511043207
1500000,1500000,150000,1600.0,4.6,2500,2500,100,552087982
1500000,1500000,150000,1600.0,4.6,2500,2500,100,569055726
1500000,1500000,150000,1600.0,4.6,2500,2500,100,644634092
2000000,1400000,200000,2040.0,11.0,2600,4500,260,169766596
1400000,2000000,200000,2040.0,11.0,2600,4500,260,199236457
1500000,1500000,150000,1600.0,4.6,2500,2500,100,584440284
1863874,1271468,117819,1812.0,0.0,2500,2500,100,9465580
1863874,1271468,117819,1812.0,0.0,2500,2500,100,44122167
953367,2033673,98282,1645.5,8.2,2500,2500,100,572564575
1000000,1800000,130000,1600.0,1.1,2500,2500,100,586610978
