zhiye,qixue,zhenqi,low_gongji,up_gongji,defense,baoshang,duiguai,1%_qixue,1%_zhenqi,1%_gongji,1%_fangyu,zishen_defense,up_damage
4,1500000,1500000,120000,150000,0,1600.0,4.6,2500,2500,100,0,0,1266023168
4,1745000,938000,103000,115000,0,1658.0,0.0,4500,2500,100,0,0,875324153
4,2100753,1481492,177052,214408,0,2059.0,11.0,2500,2500,100,0,0,1693323861
4,2042233,1380323,174068,207285,0,2043.0,11.0,5649,4956,246,0,0,240433875
4,2042233,1380323,174068,207285,0,2043.0,11.0,5649,4956,246,0,0,109288125
4,2042233,1380323,267982,301199,0,2043.0,11.0,5649,4956,246,0,0,122117333
4,1800000,1000000,100000,135000,0,1800.0,4.6,2500,2500,100,0,0,1149544824
4,1380000,520000,86000,92000,0,1700.0,0.0,2500,2500,100,0,0,650569034
4,1800000,1000000,100000,135000,0,1800.0,4.6,2500,2500,100,0,0,784393390
4,1500000,1500000,120000,150000,0,1600.0,4.6,2500,2500,100,0,0,1316216995
4,1400000,1000000,100000,110000,0,1650.0,2.0,4000,2500,100,0,0,582568584
4,1400000,1000000,100000,110000,0,1750.0,2.0,4000,2500,100,0,0,618374889
